"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"United States","Cabinet Gorge","Avista Corp","","48.084444","-116.053056","Clark Fork","Bonner","Idaho","83811","61940 Hwy 200","265.2","265.2","Hydroelectric","Hydroelectric","0","0","0","0","265.2","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Caithness Long Island Energy Center","Caithness Long Island, LLC","","40.8142","-72.9403","Yaphank","Suffolk","New York","11980","50 Zorn Blvd.","348.9","0","Natural Gas","","0","348.9","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calcasieu","Entergy Louisiana LLC","","30.1608","-93.345","Sulphur","Calcasieu","Louisiana","70665","1519 Davison Road","358.8","0","Natural Gas","","0","358.8","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calderwood","Brookfield Smoky Mountain Hydropower LLC","","35.4923","-83.9806","Tallassee","Blount","Tennessee","37878","314 Growdon Blvd.","156.6","156.6","Hydroelectric","Hydroelectric","0","0","0","0","156.6","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Caledonia","Tennessee Valley Authority","","33.6464","-88.2717","Steens","Lowndes","Mississippi","39766","255 Lone Oak Rd.","801","0","Natural Gas","","0","801","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calhoun Energy Center","Calhoun Power Co LLC","","33.5883","-85.9731","Eastaboga","Calhoun","Alabama","36260","720 Green Valley Dr","748","0","Natural Gas","","0","748","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","California Ridge Wind Energy LLC","Invenergy Services LLC","","40.211667","-87.878333","Fithian","Vermilion","Illinois","61844","3429 East CR 2350 North Road","217","217","Wind","Wind","0","0","0","0","0","0","0","0","217","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","California Valley Solar Ranch","NRG Renew Operation & Maintenance, LLC","","35.323739","-119.91663","California Valley","San Luis Obispo","California","93453","13505 Carrisa Highway","249.8","249.8","Solar","Solar","0","0","0","0","0","0","0","249.8","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calistoga Power Plant","Geysers Power Co LLC","","38.7879","-122.7434","Middletown","Lake","California","95461","10350 Socrates Mine Road","176.4","176.4","Geothermal","Geothermal","0","0","0","0","0","0","0","0","0","176.4","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Callahan Divide Wind Energy Center","FPL Energy Callahan Wind, LLC","","32.303889","-100.021667","Tusocola","Taylor","Texas","79562","1209 F CR 618","114","114","Wind","Wind","0","0","0","0","0","0","0","0","114","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
