"Reference Period","Source Agency","Tidal (MW)","Biomass (MW)","Geothermal (MW)","Wind (MW)","Solar (MW)","Nuclear (MW)","Pumped-Storage Hydroelectric (MW)","Hydroelectric (MW)","Other Energy Source (MW)","Petroleum (MW)","Natural Gas (MW)","Coal (MW)","Primary Renewable Energy Source","Primary Energy Source","Total Renewable Capacity (MW)","Total Capacity (MW)","Address","Zip Code / Postal Code","State / Province / Territory","County","City (Site Name)","Longitude","Latitude","Operator Name","Owner Name (Company)","Facility Name","Country"
"201401","TheGaiaProject","0","21","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","21","21","","","New Brunswick","","","-66.7225241","47.9927283","A V Cell Inc","","Atholville","Canada"
"201708","IESO Capability Report","0","215","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","215","215","","","Ontario","","Atikokan","-91.570833","48.838056","Ontario Power Generation Inc","Ontario Power Generation Inc","Atikokan-G1","Canada"
"201703","IESO","0","0","0","0","0","0","0","162","0","0","0","0","Hydroelectric","Hydroelectric","162","162","","","Ontario","","Elliot Lake","-83.2129087","46.9094535","Brookfield Renewable Energy Partners","Brookfield Renewable Power Inc","Aubrey Falls","Canada"
"201708","OPG","0","0","0","0","0","0","0","2","0","0","0","0","Hydroelectric","Hydroelectric","2","2","","","Ontario","","Peterborough","-78.3139918","44.3234749","Ontario Power Generation Inc","","Auburn","Canada"
"201612","CanWEA","0","0","0","4.6","0","0","0","0","0","0","0","0","Wind","Wind","4.6","4.6","","","Nova Scotia","","","-62.3745089","45.5949098","","","Auld's Mountain","Canada"
"2000","Statistics Canada","0","0","0","0","0","0","0","4.6","0","0","0","0","Hydroelectric","Hydroelectric","4.6","4.6","","","Nova Scotia","","Avon River","-64.2172948","44.881475","Nova Scotia Power Inc","","Avon 1","Canada"
"2000","Statistics Canada","0","0","0","0","0","0","0","3.5","0","0","0","0","Hydroelectric","Hydroelectric","3.5","3.5","","","Nova Scotia","","Avon River","-64.2288465","44.8731913","","","Avon 2","Canada"
"201708","MERN","0","0","0","0","0","0","0","4.8","0","0","0","0","Hydroelectric","Hydroelectric","4.8","4.8","","","Québec","","Lachute","-74.3605308","45.6366631","Ayers Limitée","Ayers Limitée","Ayers-1","Canada"
"201708","MERN","0","0","0","0","0","0","0","1","0","0","0","0","Hydroelectric","Hydroelectric","1","1","","","Québec","","Lachute","-74.3539024","45.643632","Ayers Limitée","Ayers Limitée","Ayers-2","Canada"
"201612","CanWEA","0","0","0","109.5","0","0","0","0","0","0","0","0","Wind","Wind","109.5","109.5","","","Québec","","Baie-des-Sables","-67.8841145","48.7065714","TransCanada Wind & Innergex Inc","TransCanada Wind (72%) / Innergex Inc (38%)","Baie-des-Sables","Canada"
"201703","IESO","0","0","0","0","3","0","0","0","0","0","0","0","Solar","Solar","3","3","","","Ontario","","Coboconk","-78.7587079","44.6509781","Balsam Lake LP","Balsam Lake LP","Balsam Lake","Canada"
"201708","Synex","0","0","0","0","0","0","0","4.4","0","0","0","0","Hydroelectric","Hydroelectric","4.4","4.4","","","British Columbia","","Barr Creek","-126.760236","49.9278142","Barr Creek Hydro Ltd","Synex (80%) / Ehattesaht Tribe (20%)","Barr Creek","Canada"
"201612","CanWEA","0","0","0","4","0","0","0","0","0","0","0","0","Wind","Wind","4","4","","","Nova Scotia","","","-60.4070575","46.1528637","","","Barrachois","Canada"
"201708","MERN","0","0","0","0","0","0","0","10.6","0","0","0","0","Hydroelectric","Hydroelectric","10.6","10.6","","","Québec","","Sherbrooke","-71.9532036","45.4791152","Hydro Bromptonville Inc/Kruger","Hydro Bromptonville Inc/Kruger","Barrage-Larocque","Canada"
"201708","OPG","0","0","0","0","0","0","0","176","0","0","0","0","Hydroelectric","Hydroelectric","176","176","","","Ontario","","Calabogie","-76.759023","45.2499001","Ontario Power Generation Inc","","Barrett Chute","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","13","0","0","0","0","Hydroelectric","Hydroelectric","13","13","","","Alberta","","Seebe","-115.0409","51.0342494","TransAlta (100%)","TransAlta (100%)","Barrier","Canada"
"201612","CanWEA","0","0","0","3.2","0","0","0","0","0","0","0","0","Wind","Wind","3.2","3.2","","","Nova Scotia","","","-65.6624079","43.5196384","","","Barrington (Watts Wind II)","Canada"
"2016","SkyFire Energy","0","0","0","0","2","0","0","0","0","0","0","0","Solar","Solar","2","2","","","Alberta","","Bassano","-112.4600165","50.7806652","Skyfireenergy","","Bassano","Canada"
"201708","Innergex","0","0","0","0","0","0","0","5","0","0","0","0","Hydroelectric","Hydroelectric","5","5","","","Ontario","","Batawa","-77.588123","44.1684774","Innergex Inc","Innergex Inc","Batawa","Canada"
"201708","NL Hydro","0","0","0","0","0","0","0","604","0","0","0","0","Hydroelectric","Hydroelectric","604","604","","","Newfoundland and Labrador","","Victoria and White Bear River","-55.7997481","47.9901383","Newfoundland Labrador Hydroelectric Corp (Nalcor Energy)","","Bay D'espoir","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Pefferlaw","-79.293011","44.2588329","Beamlight LP","Beamlight LP","Beamlight","Canada"
"201612","CanWEA","0","0","0","102","0","0","0","0","0","0","0","0","Wind","Wind","102","102","","","British Columbia","","Dawson Creek","-120.4263595","55.7041257","AltaGas Ltd","Bear Mountain Wind LP","Bear Mountain","Canada"
"2016","ESFox","0","5","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","5","5","","","Ontario","","Toronto","-79.1639024","43.8233338","E. S. Fox Ltd","E. S. Fox Ltd","Beare Road LFG","Canada"
"201206","Tembec","0","7","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","7","7","","","Québec","","Béarn","-79.3355976","47.2847457","Tembec Inc","","Béarn Sawmill","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","17","0","0","0","0","Hydroelectric","Hydroelectric","17","17","","","Alberta","","Calgary","-114.2823152","51.1012345","TransAlta (100%)","TransAlta (100%)","Bearspaw","Canada"
"201708","Hydro-Québec","0","0","0","0","0","0","0","1877","0","0","0","0","Hydroelectric","Hydroelectric","1877","1877","","","Québec","","Fleuve Saint-Laurent","-73.9087518","45.3140655","Hydro-Québec","Hydro-Québec","Beauharnois","Canada"
"201708","Hydro-Québec","0","0","0","0","0","0","0","270","0","0","0","0","Hydroelectric","Hydroelectric","270","270","","","Québec","","Saint-Maurice","-72.8361502","47.5561117","Hydro-Québec","Hydro-Québec","Beaumont","Canada"
"201703","IESO","0","15","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","15","15","","","Ontario","","Haig Township","-84.6673319","49.2105358","1721027 Ontario Inc O/A Becker Cogeneration Plant","1721027 Ontario Inc O/A Becker Cogeneration Plant","Becker Cogeneration","Canada"
"201707","NB Power","0","0","0","0","0","0","0","112","0","0","0","0","Hydroelectric","Hydroelectric","112","112","10219 Route 105","E7J 2A8","New Brunswick","","Beechwood","-67.6687089","46.5428215","NB Power Corp","","Beechwood","Canada"
"201708","MERN","0","0","0","0","0","0","0","1.6","0","0","0","0","Hydroelectric","Hydroelectric","1.6","1.6","","","Québec","","Coaticook","-71.8078085","45.146002","Ville de Coaticook","Ville de Coaticook","Belding","Canada"
"201708","MERN","0","0","0","0","0","0","0","1","0","0","0","0","Hydroelectric","Hydroelectric","1","1","","","Québec","","La Belle Riviere","-71.7388764","48.4417323","La Société d'Énergie Belle-Rivière Inc","La Société d'Énergie Belle-Rivière Inc","Belle-Rivière","Canada"
"201708","Algonquin Power","0","0","0","0","0","0","0","2.2","0","0","0","0","Hydroelectric","Hydroelectric","2.2","2.2","","","Québec","","","-78.5576397","47.5739178","Algonquin Power","Algonquin Power","Belleterre","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Demorestville","-77.2579207","44.0652032","Sune Demorestville LP","Sune Demorestville LP","Belleville TS Demorestville","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","3","0","0","0","0","Hydroelectric","Hydroelectric","3","3","","","Alberta","","Glenwood","-113.5743066","49.3150349","TransAlta (100%)","TransAlta (100%)","Belly River","Canada"
"201312","Solar Industry Mag","0","0","0","0","20","0","0","0","0","0","0","0","Solar","Solar","20","20","","","Ontario","","","-81.1133542","42.8913346","Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%)","Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%)","Belmont","Canada"
"201703","IESO","0","1.6","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","1.6","1.6","","","Ontario","","Peterborough","-78.2872951","44.2271079","Lfg Power Corp","Lfg Power Corp","Bensfort Road LFG","Canada"
"201708","Hydro-Québec","0","0","0","0","0","0","0","1178","0","0","0","0","Hydroelectric","Hydroelectric","1178","1178","","","Québec","","Betsiamites","-69.5513915","49.2946927","Hydro-Québec","Hydro-Québec","Bersimis-1","Canada"
"201708","Hydro-Québec","0","0","0","0","0","0","0","869","0","0","0","0","Hydroelectric","Hydroelectric","869","869","","","Québec","","Betsiamites","-69.2263224","49.1753905","Hydro-Québec","Hydro-Québec","Bersimis-2","Canada"
"201708","MERN","0","0","0","0","0","0","0","18.4","0","0","0","0","Hydroelectric","Hydroelectric","18.4","18.4","","","Québec","","Saguenay","-71.2467046","48.4402928","Hydro Saguenay","Hydro Saguenay","Bésy","Canada"
"201703","IESO","0","0","0","0","0","0","0","5.5","0","0","0","0","Hydroelectric","Hydroelectric","5.5","5.5","","","Ontario","","Kapuskasing","-82.5272612","49.2997816","Amik-Bbf Hydrokap LP","Amik-Bbf Hydrokap LP","Big Beaver Falls","Canada"
"201708","OPG","0","0","0","0","0","0","0","10","0","0","0","0","Hydroelectric","Hydroelectric","10","10","","","Ontario","","Severn Bridge","-79.6760632","44.8843479","Ontario Power Generation Inc","","Big Chute","Canada"
